name,dynasty,intro
后母戊鼎,商,迄今中国发现最大、最重的青铜礼器，重达832.84公斤，纹饰精美，体现商代青铜铸造高超技艺
四羊方尊,商,青铜礼器，器身四角各铸一羊，造型独特，纹饰繁复，是商代青铜文化的杰出代表
妇好鸮尊,商,青铜酒器，整体呈鸮鸟形，造型生动逼真，纹饰细腻，为妇好墓出土的珍贵文物
商司母辛鼎,商,青铜礼器，与后母戊鼎形制相似，纹饰精美，是商代晚期青铜铸造的重要作品
商青铜爵,商,青铜酒器，三足、两柱、一鋬，是商代常见的饮酒器具，纹饰多为饕餮纹
商青铜斝,商,青铜酒器，用于温酒，形制较大，三足、两柱，纹饰丰富，体现商代工艺水平
商青铜觥,商,青铜酒器，造型多为兽形，有盖，纹饰精美，是商代贵族使用的高档酒器
商青铜鼎（小）,商,小型青铜礼器，纹饰简单，多用于日常祭祀或陈设，是商代青铜文化的普及型器物
商玉璋,商,玉器，呈长条状，有刃，多用于祭祀或礼仪活动，玉质温润，工艺精湛
商玉璧,商,圆形玉器，中间有孔，用于祭祀、礼仪或佩戴，玉质优良，纹饰简洁
商玉琮,商,方形玉器，中间有孔，外壁有纹饰，是商代重要的礼玉
商骨笛,商,用兽骨制成的吹奏乐器，管身有孔，能发出不同音调，体现商代音乐文化
商骨簪,商,用兽骨制成的饰品，用于固定发髻，造型简单或有纹饰，是商代常见的生活用品
商陶鬲,商,陶制炊具，三足，腹部有纹饰，用于煮饭，是商代平民常用的器具
商陶鼎,商,陶制礼器或炊具，形制与青铜鼎相似，纹饰简单，用于祭祀或日常烹饪
商陶爵,商,陶制酒器，造型模仿青铜爵，纹饰简单，是商代平民使用的饮酒器具
商青铜戈,商,青铜兵器，用于格斗，有刃，柄长，是商代军队常用的武器
商青铜矛,商,青铜兵器，矛头锋利，有柄，用于刺杀，是商代重要的兵器之一
商青铜钺,商,青铜兵器或礼器，形体较大，刃宽，象征权力，用于行刑或祭祀
商青铜刀,商,青铜工具或兵器，刀刃锋利，有柄，用于切割或格斗
商玉戈,商,玉器，造型模仿青铜戈，用于礼仪活动，玉质优良，工艺精美
商玉刀,商,玉器，刀刃锋利，用于礼仪活动或切割，玉质温润，纹饰细腻
商象牙杯,商,用象牙制成的酒器，有盖，纹饰精美，是商代贵族使用的高档器具
商象牙梳,商,用象牙制成的梳理工具，梳齿整齐，有纹饰，是商代贵族的生活用品
商青铜编钟（小）,商,青铜乐器，多件一组，大小不同，能发出不同音调，用于祭祀或宴会
商青铜铙,商,青铜乐器，形体较大，口朝上，用于祭祀或宴会，能发出洪亮的声音
商陶埙,商,陶制吹奏乐器，球形或椭圆形，有孔，能发出低沉的音调，是商代常见的乐器
商陶纺轮,商,陶制工具，用于纺纱，圆形，中间有孔，是商代纺织业的重要工具
商石斧,商,石制工具，用于砍伐或加工木材，刃部锋利，是商代早期的常用工具
商石铲,商,石制工具，用于耕地或铲土，刃部宽大，是商代农业生产的重要工具
商石镰,商,石制工具，用于收割庄稼，刃部有锯齿，是商代农业生产的常用工具
商骨铲,商,用兽骨制成的工具，用于铲土或加工，是商代早期的工具之一
商骨刀,商,用兽骨制成的工具，用于切割，是商代早期的常用工具
商青铜凿,商,青铜工具，用于开凿木材或石材，刃部锋利，是商代手工业的重要工具
商青铜锥,商,青铜工具，用于钻孔或穿刺，尖端锋利，是商代手工业的常用工具
商青铜锯,商,青铜工具，用于锯断木材或金属，锯齿锋利，是商代手工业的重要工具
商玉玦,商,圆形玉器，有缺口，用于佩戴，是商代常见的玉饰
商玉环,商,圆形玉器，中间有孔，用于佩戴，玉质优良，纹饰简洁
商玉管,商,圆柱形玉器，中间有孔，用于串饰，玉质温润，工艺精湛
商陶瓮,商,陶制容器，用于储存粮食或水，形体较大，纹饰简单
商陶罐,商,陶制容器，用于储存物品，形体较小，纹饰多样
商陶盆,商,陶制容器，用于洗漱或盛放物品，口大底小，纹饰简单
商青铜盘,商,青铜礼器或水器，用于承接水，纹饰精美，是商代贵族使用的器具
商青铜匜,商,青铜水器，用于浇水洗手，有流，纹饰精美，与青铜盘配套使用
商青铜壶,商,青铜酒器或水器，用于储存酒或水，形体较大，纹饰丰富
商青铜卣,商,青铜酒器，用于储存酒，有盖，造型独特，纹饰精美
商青铜罍,商,青铜酒器或水器，形体较大，有盖，纹饰繁复，是商代重要的礼器
毛公鼎,西周,青铜礼器，内壁铸有499字铭文，是迄今铭文最长的青铜鼎，记录周王对毛公的册命
大盂鼎,西周,青铜礼器，铭文记载周康王对盂的册命，造型雄浑，纹饰以饕餮纹为主
大克鼎,西周,青铜礼器，铭文记载克的功绩，器形端庄，纹饰简洁流畅，与大盂鼎并称“重器鸿宝”
虢季子白盘,西周,青铜水器，盘内铭文111字，讲述虢季子白战功，是商周金文范本
利簋,西周,青铜食器，铭文记载牧野之战，是最早的西周青铜礼器，被誉为“武王征商簋”
何尊,西周,青铜酒器，内壁铸有“中国”二字，是最早出现“中国”的文物，造型独特
墙盘,西周,青铜礼器，腹底铭文284字，颂扬周王政绩与微氏家族史，是研究西周历史的重要史料
卫盉,西周,青铜酒器，盖内铭文132字，记载土地交易与礼器交换，反映西周社会经济
（亻朕）匜,西周,青铜水器，腹底和盖铭文157字，记述诉讼过程，被誉为“青铜法典”
克盉,西周,青铜酒器，出土于北京房山琉璃河遗址，铭文记录燕国分封史实
克罍,西周,青铜酒器，与克盉同出，铭文相互印证燕国分封历史，是燕文化重要文物
虢仲铜盨,西周,青铜食器，出土于虢国国君墓，器身铸有龙纹、窃曲纹，铭文记录器主信息
邓公铜簋,西周,青铜礼器，为邓国国君女儿的媵器，器身饰瓦沟纹和窃曲纹，有明确铭文
西周青铜编钟,西周,青铜乐器，多件成组，音律和谐，用于祭祀或宴乐，体现西周音乐水平
西周玉璋,西周,玉质礼器，用于祭祀山川，形制规范，玉质温润，工艺精湛
西周青铜戈,西周,青铜兵器，是军队主要作战兵器，造型实用，纹饰简单
西周青铜剑,西周,青铜兵器，剑身较短，是早期青铜剑的代表，用于近战格斗
西周玉璧,西周,玉质礼器，用于祭祀或陪葬，纹饰以云纹为主，玉质优良
西周陶俑,西周,陶制陪葬品，造型简单，多为侍仆形象，反映西周丧葬文化
西周青铜爵,西周,青铜酒器，形制继承商代，纹饰简化，是西周常见礼器
西周青铜斝,西周,青铜酒器，用于温酒，形制较商代小巧，纹饰趋于简洁
西周玉琮,西周,玉质礼器，用于祭祀，外壁纹饰简化，是西周礼玉的重要类型
西周骨簪,西周,兽骨制成的饰品，用于固定发髻，造型简单，是平民与贵族通用的生活用品
西周陶鬲,西周,陶制炊具，三足，腹部纹饰简单，是平民常用的煮饭器具
西周青铜鼎（小）,西周,小型青铜礼器，纹饰简单，多用于日常祭祀，是青铜文化普及型器物
西周青铜盘,西周,青铜水器，用于承接水，与匜配套使用，纹饰以夔龙纹为主
西周青铜壶,西周,青铜酒器，用于储存酒，形体较大，纹饰丰富，多为龙纹、凤纹
西周青铜卣,西周,青铜酒器，用于储存香酒，有盖，造型独特，纹饰精美
西周青铜罍,西周,青铜酒器，形体较大，有盖，纹饰繁复，是贵族使用的礼器
西周石磬,西周,石质乐器，用于祭祀或宴乐，音色清亮，是西周礼乐制度的重要组成
西周瓦当,西周,建筑构件，饰有云纹或兽纹，是西周建筑的代表，体现建筑装饰水平
西周青铜凿,西周,青铜工具，用于开凿木材或石材，刃部锋利，是手工业重要工具
西周青铜锥,西周,青铜工具，用于钻孔或穿刺，尖端锋利，是手工业常用工具
西周玉玦,西周,圆形玉器，有缺口，用于佩戴，是常见玉饰，玉质温润
西周玉环,西周,圆形玉器，中间有孔，用于佩戴，纹饰简洁，玉质优良
西周玉管,西周,圆柱形玉器，中间有孔，用于串饰，工艺精湛，玉质温润
西周陶瓮,西周,陶制容器，用于储存粮食或水，形体较大，纹饰简单
西周陶罐,西周,陶制容器，用于储存物品，形体较小，纹饰多样
西周陶盆,西周,陶制容器，用于洗漱或盛放物品，口大底小，纹饰简单
越王勾践剑,春秋,青铜剑，剑身饰菱形暗纹，历经两千余年仍锋利无比，体现春秋铸剑技术巅峰
吴王夫差矛,春秋,青铜矛，剑身刻有“吴王夫差自作用矛”铭文，造型锋利，是吴国兵器代表
曾侯乙编钟,战国,青铜乐器，全套65件，音域宽广，音律精准，是战国音乐文化瑰宝
曾侯乙尊盘,战国,青铜礼器，由尊和盘组成，镂空纹饰繁复精美，体现战国青铜铸造高超工艺
战国青铜剑,战国,青铜兵器，剑身加长，锋利度提升，是战国军队常用武器
战国玉璜,战国,玉质饰品，用于佩戴，纹饰精美，多为龙纹或凤纹
战国竹简,战国,竹制文书，记载大量历史文献，是重要文字资料，如郭店楚简、睡虎地秦简
春秋青铜鼎,春秋,青铜礼器，造型趋于轻巧，纹饰简化，实用性增强
春秋玉璧,春秋,玉质礼器，用于祭祀或陪葬，纹饰精美，多为龙纹
战国铜车马,战国,青铜明器，早期车马模型代表，造型逼真，工艺精湛
战国青铜戈,战国,青铜兵器，形制改进，杀伤力增强，是战国军队主要兵器
战国青铜矛,战国,青铜兵器，矛头加长，锋利度提升，用于刺杀
战国玉璋,战国,玉质礼器，用于祭祀，形制规范，玉质温润
战国陶俑,战国,陶制陪葬品，造型生动，多为武士、侍仆形象，反映战国丧葬文化
战国青铜爵,战国,青铜酒器，形制简化，实用性增强，是战国常见礼器
战国青铜斝,战国,青铜酒器，用于温酒，形制小巧，纹饰简洁
战国玉琮,战国,玉质礼器，用于祭祀，外壁纹饰复杂，多为兽面纹
战国骨簪,战国,兽骨或玉质饰品，用于固定发髻，造型精美，是贵族常用饰品
战国陶鬲,战国,陶制炊具，三足，腹部纹饰简单，是平民常用煮饭器具
战国青铜鼎（小）,战国,小型青铜礼器，纹饰简单，多用于日常祭祀
战国青铜盘,战国,青铜水器，用于承接水，与匜配套使用，纹饰以夔龙纹为主
战国青铜壶,战国,青铜酒器，用于储存酒，形体较大，纹饰丰富，多为蟠螭纹
战国青铜卣,战国,青铜酒器，用于储存香酒，有盖，造型独特，纹饰精美
战国青铜罍,战国,青铜酒器，形体较大，有盖，纹饰繁复，是贵族使用的礼器
战国石磬,战国,石质乐器，用于祭祀或宴乐，音色清亮，是战国礼乐制度重要组成
战国瓦当,战国,建筑构件，饰有云纹或兽纹，是战国建筑代表，体现建筑装饰水平
兵马俑,秦,秦始皇陵陪葬陶俑，被誉为“世界第八大奇迹”，规模宏大，造型栩栩如生
秦青铜剑,秦,秦始皇陵出土，剑身经铬盐氧化处理，防锈能力强，锋利无比
秦铜车马,秦,秦始皇陵出土，是迄今最复杂的青铜车马模型，工艺精湛，细节逼真
秦石甲胄,秦,秦始皇陵出土，由石片拼接而成，是罕见的石质铠甲，工艺复杂
秦玉璧,秦,秦始皇陵出土，用于祭祀或陪葬，纹饰精美，玉质优良
秦青铜戈,秦,秦始皇陵出土，是秦军主要的作战兵器之一，造型锋利
秦青铜矛,秦,秦始皇陵出土，造型锋利，是秦军的常用兵器
秦陶马,秦,秦始皇陵陪葬陶俑，与兵马俑配套，造型逼真，神态生动
秦陶俑头,秦,秦始皇陵陪葬陶俑的头部，表情各异，栩栩如生
秦青铜铍,秦,秦始皇陵出土，是一种长柄兵器，类似长矛，杀伤力强
秦青铜殳,秦,秦始皇陵出土，是一种仪仗用兵器，无刃，象征权力
秦青铜弩机,秦,秦始皇陵出土，是秦军的远射兵器，精度高，威力大
秦石磬,秦,秦始皇陵出土，是一种石质乐器，用于祭祀，音色清亮
秦瓦当,秦,秦代建筑构件，饰有云纹或兽纹，是秦代建筑的代表
秦砖,秦,秦代建筑构件，刻有文字或纹饰，具有历史价值
秦青铜量器,秦,秦代标准量器，用于统一度量衡，是秦代中央集权的象征
秦青铜权,秦,秦代标准砝码，用于统一度量衡，造型多样
秦竹简,秦,里耶秦简出土，记载秦代行政文书，是重要的历史资料
秦青铜剑鞘,秦,秦始皇陵出土，与青铜剑配套，纹饰精美，工艺精湛
秦陶瓮,秦,陶制容器，用于储存粮食或水，形体较大，纹饰简单
马王堆汉墓帛书,西汉,长沙马王堆汉墓出土，记载大量古籍，是重要的文献资料
马王堆汉墓素纱襌衣,西汉,长沙马王堆汉墓出土，重量仅49克，是迄今最轻的素纱衣
长信宫灯,西汉,满城汉墓出土，青铜灯具，造型为宫女执灯，具有环保功能
金缕玉衣,西汉,满城汉墓出土，由玉片和金丝编织而成，是汉代高级贵族的殓服
西汉青铜镜,西汉,汉代青铜饰品，纹饰精美，具有照容功能
西汉陶俑,西汉,汉代陪葬陶俑，造型生动，反映汉代社会生活
西汉竹简,西汉,银雀山汉墓出土，记载《孙子兵法》和《孙膑兵法》，解决历史争议
西汉玉璧,西汉,玉质礼器，用于祭祀或陪葬，纹饰复杂
西汉青铜鼎,西汉,青铜礼器，造型趋于简洁，实用性增强
西汉铜奔马,西汉,武威雷台汉墓出土，又名“马踏飞燕”，是中国旅游标志
东汉青铜镜,东汉,青铜饰品，纹饰多为神兽纹，工艺精湛
东汉陶俑,东汉,陪葬陶俑，造型多样，反映汉代社会生活
东汉青铜灯,东汉,青铜灯具，造型多样，具有实用和装饰功能
东汉玉琮,东汉,玉质礼器，用于祭祀，形制规整
东汉铁刀,东汉,铁制兵器，是主要的作战兵器之一
东汉竹简,东汉,居延汉简出土，记载汉代边防文书，是重要的历史资料
东汉瓦当,东汉,建筑构件，饰有云纹或文字，是汉代建筑的代表
东汉砖,东汉,建筑构件，刻有画像，反映汉代社会生活
东汉青铜量器,东汉,标准量器，用于统一度量衡
唐三彩骆驼,唐,唐代彩陶，反映丝绸之路的繁荣，造型生动
唐三彩马,唐,唐代彩陶，造型逼真，是唐代彩陶的代表
唐彩绘陶俑,唐,唐代陪葬陶俑，造型多样，反映唐代社会生活
唐青铜镜,唐,青铜饰品，纹饰精美，多为花鸟纹
唐金银器,唐,唐代金银饰品，工艺精湛，是唐代手工业的代表
唐瓷器,唐,唐代瓷器，以青瓷和白瓷为主，造型简洁
唐敦煌文书,唐,敦煌莫高窟出土，记载大量唐代文献，是重要的历史资料
唐壁画,唐,唐代墓葬或石窟中的壁画，反映唐代社会生活和艺术水平
唐陶俑,唐,唐代陪葬陶俑，造型生动，多为文官、武将或侍女
唐铁刀,唐,铁制兵器，是主要的作战兵器之一
唐玉璧,唐,玉质礼器，用于祭祀或陪葬，纹饰精美
唐玉璜,唐,玉质饰品，用于佩戴，造型多样
唐瓦当,唐,唐代建筑构件，饰有云纹或文字，是唐代建筑的代表
唐砖,唐,唐代建筑构件，刻有画像，反映唐代社会生活
唐青铜鼎,唐,唐代青铜礼器，造型趋于简洁，实用性增强
唐青铜灯,唐,唐代青铜灯具，造型多样，具有实用和装饰功能
唐丝绸,唐,唐代丝绸制品，工艺精湛，是唐代手工业的代表
宋汝窑天青釉瓷瓶,宋,宋代汝窑瓷器，釉色天青，温润如玉，是宋代五大名窑之首的代表作品
宋官窑粉青釉弦纹瓶,宋,宋代官窑瓷器，釉色粉青，开片自然，造型端庄，体现宋代官窑制瓷水平
宋哥窑鱼耳炉,宋,宋代哥窑瓷器，釉面布满开片，造型古朴，是哥窑经典器物
宋钧窑玫瑰紫釉海棠式花盆,宋,宋代钧窑瓷器，釉色玫瑰紫，窑变效果独特，造型为海棠式
宋定窑白釉刻花梅瓶,宋,宋代定窑瓷器，白釉温润，刻花精美，是定窑白瓷的代表
宋孩儿枕,宋,宋代定窑瓷器，造型为孩童卧姿，釉色白润，是宋代瓷器中的珍品
宋青铜镜,宋,宋代青铜饰品，纹饰多为缠枝花卉纹，工艺精湛
宋活字印刷泥模,宋,宋代活字印刷工具，是中国古代四大发明之一活字印刷术的实物见证
宋书画《清明上河图》,宋,北宋张择端所作，描绘汴京市井生活，是中国古代绘画的瑰宝
宋磁州窑白地黑花瓷瓶,宋,宋代磁州窑瓷器，白地黑花，纹饰生动，具有民间艺术风格
元青花萧何月下追韩信图梅瓶,元,元代青花瓷，纹饰为萧何月下追韩信故事，青花发色浓艳，是元青花珍品
元釉里红缠枝牡丹纹玉壶春瓶,元,元代釉里红瓷器，红釉发色鲜艳，纹饰为缠枝牡丹，造型优美
元青花鬼谷子下山图罐,元,元代青花瓷，纹饰为鬼谷子下山故事，青花发色纯正，具有极高艺术价值
元龙泉窑青釉玉壶春瓶,元,元代龙泉窑瓷器，釉色青翠，造型端庄，是龙泉窑的代表作品
元铜火铳,元,元代火器，是中国早期火炮的代表，反映元代军事技术水平
元书画《富春山居图》（部分）,元,黄公望所作，描绘富春江山水，是元代山水画的巅峰之作
明青花瓷-明,明,釉下彩瓷，色泽淡雅，纹饰多为缠枝花卉、人物故事等
明宣德炉,明,明代青铜香炉，造型古朴，铜质精良，是明代铜器的代表
明斗彩鸡缸杯,明,明代成化年间瓷器，斗彩工艺精湛，纹饰为鸡群图，造型小巧
明《永乐大典》残卷,明,明代大型类书，是中国古代最大的类书，残卷具有重要文献价值
明景泰蓝缠枝莲纹瓶,明,明代景泰蓝工艺制品，蓝釉鲜艳，纹饰为缠枝莲，工艺精湛
清青花瓷-清,清,清代青花瓷，纹饰繁复，色彩鲜艳，造型多样
清珐琅彩瓷瓶,清,清代珐琅彩瓷器，釉色鲜艳，纹饰精美，是清代宫廷瓷器的代表
清乾隆玉碗,清,清代玉器，玉质温润，造型精美，是清代玉器的代表
清《红楼梦》手抄本,清,清代曹雪芹所作，是中国古典小说的巅峰之作，手抄本具有重要版本价值
清圆明园兽首,清,清代圆明园西洋楼前喷泉饰物，造型为十二生肖兽首，工艺精湛
清光绪元宝银元,清,清代银元，是清代晚期的主要货币，具有重要历史价值